assetType,brand,sourceDomain,sourceUrl,sourceType,trustLevel,notes
Laptop,Dell,dell.com,https://www.dell.com/support/home,manufacturer,high,Official Dell support and specifications
Laptop,HP,hp.com,https://support.hp.com,manufacturer,high,Official HP support/spec pages
Laptop,Lenovo,lenovo.com,https://support.lenovo.com,manufacturer,high,Lenovo support and PSREF references
Laptop,Apple,apple.com,https://support.apple.com,manufacturer,high,Official Apple support docs
Laptop,ASUS,asus.com,https://www.asus.com/support,manufacturer,medium,Official ASUS support pages
Desktop PC,Dell,dell.com,https://www.dell.com/support/home,manufacturer,high,Official Dell desktop specs
Desktop PC,HP,hp.com,https://support.hp.com,manufacturer,high,Official HP desktop specs
Desktop PC,Lenovo,lenovo.com,https://support.lenovo.com,manufacturer,high,Official Lenovo desktop specs
Desktop PC,Apple,apple.com,https://support.apple.com,manufacturer,high,Official Apple desktop support
Desktop PC,ASUS,asus.com,https://www.asus.com/support,manufacturer,medium,Official ASUS desktop support
Monitor,Dell,dell.com,https://www.dell.com/support/home,manufacturer,high,Official Dell monitor support
Monitor,HP,hp.com,https://support.hp.com,manufacturer,high,Official HP monitor support
Monitor,Lenovo,lenovo.com,https://support.lenovo.com,manufacturer,high,Official Lenovo monitor support
Monitor,LG,lg.com,https://www.lg.com/support,manufacturer,medium,Official LG support
Monitor,Samsung,samsung.com,https://www.samsung.com/support,manufacturer,medium,Official Samsung support
Server,HPE,hpe.com,https://support.hpe.com,manufacturer,high,HPE server quickspecs and support
Server,Dell,dell.com,https://www.dell.com/support/home,manufacturer,high,Dell PowerEdge specs/support
Server,Cisco,cisco.com,https://www.cisco.com/c/en/us/support/index.html,manufacturer,high,Cisco UCS server support
Server,Lenovo,lenovo.com,https://support.lenovo.com,manufacturer,high,Lenovo ThinkSystem specs/support
Server,Supermicro,supermicro.com,https://www.supermicro.com/en/support,manufacturer,medium,Supermicro official support
Tablet / iPad,Apple,apple.com,https://support.apple.com,manufacturer,high,Official iPad support docs
Tablet / iPad,Samsung,samsung.com,https://www.samsung.com/support,manufacturer,medium,Official Samsung tablet support
Tablet / iPad,Lenovo,lenovo.com,https://support.lenovo.com,manufacturer,high,Official Lenovo tablet support
Tablet / iPad,Microsoft,microsoft.com,https://support.microsoft.com/surface,manufacturer,high,Surface support
Tablet / iPad,HP,hp.com,https://support.hp.com,manufacturer,high,HP tablet support
Peripheral (Keyboard/Mouse),Logitech,logitech.com,https://support.logi.com,manufacturer,high,Official Logitech support
Peripheral (Keyboard/Mouse),Dell,dell.com,https://www.dell.com/support/home,manufacturer,high,Official Dell peripheral support
Peripheral (Keyboard/Mouse),HP,hp.com,https://support.hp.com,manufacturer,high,Official HP peripheral support
Peripheral (Keyboard/Mouse),Microsoft,microsoft.com,https://support.microsoft.com,manufacturer,high,Official Microsoft peripheral support
Peripheral (Keyboard/Mouse),Lenovo,lenovo.com,https://support.lenovo.com,manufacturer,high,Official Lenovo peripheral support
Projector,Epson,epson.com,https://epson.com/Support,manufacturer,high,Official Epson projector support
Projector,BenQ,benq.com,https://www.benq.com/en-us/support,manufacturer,medium,Official BenQ support
Projector,ViewSonic,viewsonic.com,https://www.viewsonic.com/us/support,manufacturer,medium,Official ViewSonic support
Projector,Sony,sony.com,https://www.sony.com/electronics/support,manufacturer,high,Official Sony projector support
Projector,Canon,canon.com,https://www.usa.canon.com/support,manufacturer,high,Official Canon projector support
Smartboard,SMART,smarttech.com,https://support.smarttech.com,manufacturer,high,Official SMART support
Smartboard,Promethean,prometheanworld.com,https://support.prometheanworld.com,manufacturer,high,Official Promethean support
Smartboard,BenQ,benq.com,https://www.benq.com/en-us/support,manufacturer,medium,Official BenQ smartboard support
Smartboard,ViewSonic,viewsonic.com,https://www.viewsonic.com/us/support,manufacturer,medium,Official ViewSonic smartboard support
Smartboard,Samsung,samsung.com,https://www.samsung.com/support,manufacturer,medium,Samsung interactive display support
Camera,Canon,canon.com,https://www.usa.canon.com/support,manufacturer,high,Official Canon support
Camera,Nikon,nikon.com,https://www.nikonusa.com/en/nikon-products/support,manufacturer,high,Official Nikon support
Camera,Sony,sony.com,https://www.sony.com/electronics/support,manufacturer,high,Official Sony support
Camera,Logitech,logitech.com,https://support.logi.com,manufacturer,high,Official Logitech camera support
Camera,Panasonic,panasonic.com,https://shop.panasonic.com/support,manufacturer,medium,Official Panasonic support
